n
"{title:The Matrix,tagline:Welcome to the Real World,released:1999}"
"{name:Keanu Reeves,born:1964}"
"{name:Susan Sarandon,born:1946}"
"{name:Matthew Fox,born:1966}"
"{name:Christina Ricci,born:1980}"
"{name:Rain,born:1982}"
"{title:Ninja Assassin,tagline:Prepare to enter a secret world of assassins,released:2009}"
{name:Naomie Harris}
"{title:The Green Mile,tagline:Walk a mile you'll never forget.,released:1999}"
"{name:Michael Clarke Duncan,born:1957}"
"{name:David Morse,born:1953}"
"{name:Sam Rockwell,born:1968}"
"{name:Gary Sinise,born:1955}"
"{name:Patricia Clarkson,born:1959}"
"{name:Frank Darabont,born:1959}"
"{title:Frost/Nixon,tagline:400 million people were waiting for the truth.,released:2008}"
"{name:Frank Langella,born:1938}"
"{name:Michael Sheen,born:1969}"
"{name:Oliver Platt,born:1960}"
"{title:Hoffa,tagline:He didn't want law. He wanted justice.,released:1992}"
"{name:Danny DeVito,born:1944}"
"{name:John C. Reilly,born:1965}"
"{title:Apollo 13,tagline:Houston, we have a problem.,released:1995}"
"{name:Ed Harris,born:1950}"
"{name:Bill Paxton,born:1955}"
"{title:Twister,tagline:Don't Breathe. Don't Look Back.,released:1996}"
"{name:Philip Seymour Hoffman,born:1967}"
"{name:Jan de Bont,born:1943}"
"{title:Cast Away,tagline:At the edge of the world, his journey begins.,released:2000}"
"{name:Robert Zemeckis,born:1951}"
"{title:One Flew Over the Cuckoo's Nest,tagline:If he's crazy, what does that make you?,released:1975}"
"{name:Milos Forman,born:1932}"
"{title:Something's Gotta Give,released:2003}"
"{name:Diane Keaton,born:1946}"
"{name:Nancy Meyers,born:1949}"
"{title:Bicentennial Man,tagline:One robot's 200 year journey to become an ordinary man.,released:1999}"
"{name:Chris Columbus,born:1958}"
"{title:Charlie Wilson's War,tagline:A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,released:2007}"
"{name:Julia Roberts,born:1967}"
"{title:The Polar Express,tagline:This Holiday Season… Believe,released:2004}"
"{title:A League of Their Own,tagline:Once in a lifetime you get a chance to do something different.,released:1992}"
"{name:Madonna,born:1954}"
"{name:Geena Davis,born:1956}"
"{name:Lori Petty,born:1963}"
"{name:Penny Marshall,born:1943}"
{name:Paul Blythe}
{name:Angela Scope}
{name:Jessica Thompson}
{name:James Thompson}
